row_id,order_id,order_date,ship_date,delivery_duration,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,discount_value,profit,cogs,returned,shipping_cost_per_unit,is_returned,estimated_shipping_cost,shipping_cost_ratio,is_delayed,customer_order_count,customer_avg_sales,order_month,profit_margin,is_loss_order
11,CA-2014-115812,2014-06-09,2014-06-14,5,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,-341.2368,85.3092,-1279.638,,7,0,63,0.03692450521163017,0,8,260.63962499999997,6,0.05,0
12,CA-2014-115812,2014-06-09,2014-06-14,5,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,-182.2848,68.3568,-660.7824,,7,0,28,0.03072115722210519,0,8,260.63962499999997,6,0.07500000000000001,0
13,CA-2017-114412,2017-04-15,2017-04-20,5,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,-3.1104,5.4432,-6.9984,,6,0,18,1.1574074074074074,0,4,149.20933333333335,4,0.35000000000000003,0
14,CA-2016-161389,2016-12-05,2016-12-10,5,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,-81.5952,132.5922,-193.7886,,5,0,15,0.03676686863933173,0,7,234.7844761904762,12,0.32499999999999996,0
15,US-2015-118983,2015-11-22,2015-11-26,4,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-55.048,-123.858,-137.62,,10,0,50,0.7266385699752943,0,7,199.03140000000002,11,-1.8,1
16,US-2015-118983,2015-11-22,2015-11-26,4,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-2.0352,-3.816,-4.3248,,10,0,30,11.79245283018868,0,7,199.03140000000002,11,-1.5,1
17,CA-2014-105893,2014-11-11,2014-11-18,7,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,0.0,13.3176,-652.5624,,5,0,30,0.04505316273202379,1,12,345.87735999999995,11,0.02,0
18,CA-2014-167164,2014-05-13,2014-05-15,2,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,0.0,9.99,-45.51,,8,0,16,0.2882882882882883,0,5,184.4927142857143,5,0.18,0
19,CA-2014-143336,2014-08-27,2014-09-01,5,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,0.0,2.4824,-6.0776,Yes,7,1,14,1.6355140186915886,0,5,165.99377777777778,8,0.29,0
20,CA-2014-143336,2014-08-27,2014-09-01,5,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,-42.696,16.011,-154.773,Yes,7,1,21,0.09836987071388421,0,5,165.99377777777778,8,0.075,0
21,CA-2014-143336,2014-08-27,2014-09-01,5,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,-4.544,7.384,-10.792,Yes,7,1,28,1.2323943661971832,0,5,165.99377777777778,8,0.325,0
22,CA-2016-137330,2016-12-09,2016-12-13,4,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0.0,0.0,5.0596,-14.4004,,3,0,21,1.079136690647482,0,12,119.33660869565219,12,0.25999999999999995,0
23,CA-2016-137330,2016-12-09,2016-12-13,4,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,0.0,15.6884,-44.6516,,3,0,21,0.34802784222737815,0,12,119.33660869565219,12,0.25999999999999995,0
24,US-2017-156909,2017-07-16,2017-07-18,2,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-21.4116,-1.0196,-50.98,,3,0,6,0.08406658073193969,0,7,84.83844444444443,7,-0.014285714285714287,1
25,CA-2015-106320,2015-09-25,2015-09-30,5,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,0.0,240.2649,-804.3651,,8,0,24,0.022974641739180377,0,10,251.56536363636363,9,0.22999999999999998,0
26,CA-2016-121755,2016-01-16,2016-01-20,4,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,-2.3296,4.2224,-5.096,,7,0,14,1.2019230769230769,0,8,40.24535294117646,1,0.36250000000000004,0
27,CA-2016-121755,2016-01-16,2016-01-20,4,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,0.0,11.7741,-78.7959,,7,0,21,0.23186485591255385,0,8,40.24535294117646,1,0.13,0
28,US-2015-150630,2015-09-17,2015-09-21,4,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1541.715,-1665.0522,-3206.7672,,3,0,21,0.006810597289382279,0,9,236.8743,9,-0.54,1
29,US-2015-150630,2015-09-17,2015-09-21,4,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-6.7326,-7.0532,-9.9386,,3,0,6,0.6238303181534622,0,9,236.8743,9,-0.7333333333333334,1
30,US-2015-150630,2015-09-17,2015-09-21,4,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,-24.84,15.525,-83.835,,3,0,9,0.07246376811594203,0,9,236.8743,9,0.125,0
31,US-2015-150630,2015-09-17,2015-09-21,4,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,-0.6528,1.1016,-1.5096,,3,0,6,1.8382352941176472,0,9,236.8743,9,0.3375,0
32,US-2015-150630,2015-09-17,2015-09-21,4,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,-17.2608,9.7092,-59.334,,3,0,18,0.20856507230255839,0,9,236.8743,9,0.11249999999999999,0
33,US-2015-150630,2015-09-17,2015-09-21,4,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-4.8006,-5.715,-7.7724,,3,0,18,2.6246719160104988,0,9,236.8743,9,-0.8333333333333334,1
34,US-2015-150630,2015-09-17,2015-09-21,4,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,-3.152,3.546,-9.062,,3,0,6,0.3807106598984772,0,9,236.8743,9,0.22499999999999998,0
35,CA-2017-107727,2017-10-19,2017-10-23,4,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,-5.8944,9.9468,-13.6308,,10,0,30,1.017915309446254,0,11,126.44591176470588,10,0.33749999999999997,0
36,CA-2016-117590,2016-12-08,2016-12-10,2,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,-219.5088,123.4737,-754.5615,,10,0,70,0.06377876422266442,0,2,453.74800000000005,12,0.11249999999999999,0
37,CA-2016-117590,2016-12-08,2016-12-10,2,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-114.552,-147.963,-224.331,,10,0,50,0.2618897967735177,0,2,453.74800000000005,12,-0.775,1
38,CA-2015-117415,2015-12-27,2015-12-31,4,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,-22.6656,35.415,-55.2474,,10,0,90,0.7941550190597204,0,7,164.62943157894736,12,0.3125,0
39,CA-2015-117415,2015-12-27,2015-12-31,4,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-170.367744,-46.9764,-409.007856,,10,0,30,0.056348694738835074,0,7,164.62943157894736,12,-0.08823529411764706,1
40,CA-2015-117415,2015-12-27,2015-12-31,4,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-63.6174,-15.147,-163.5876,,10,0,30,0.14147072970602384,0,7,164.62943157894736,12,-0.07142857142857144,1
41,CA-2015-117415,2015-12-27,2015-12-31,4,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,-74.2336,41.7564,-255.178,,10,0,40,0.10776791102681266,0,7,164.62943157894736,12,0.1125,0
42,CA-2017-120999,2017-09-10,2017-09-15,5,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,-29.4336,16.5564,-101.178,,4,0,16,0.10871928680147858,0,8,320.9247142857143,9,0.11249999999999999,0
43,CA-2016-101343,2016-07-17,2016-07-22,5,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,0.0,3.894,-73.986,,7,0,14,0.179763739085773,0,7,255.4876,7,0.05,0
44,CA-2017-139619,2017-09-19,2017-09-23,4,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,-19.1232,9.5616,-66.9312,,6,0,12,0.12550200803212852,0,9,232.8962,9,0.1,0
45,CA-2016-118255,2016-03-11,2016-03-13,2,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,0.0,19.7714,-26.2086,,10,0,20,0.4349717268377556,0,9,104.50133333333333,3,0.43000000000000005,0
46,CA-2016-118255,2016-03-11,2016-03-13,2,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,0.0,8.2062,-9.2538,,10,0,20,1.145475372279496,0,9,104.50133333333333,3,0.47000000000000003,0
47,CA-2014-146703,2014-10-20,2014-10-25,5,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,0.0,8.4784,-203.4816,,5,0,20,0.09435742592942065,0,7,191.7856923076923,10,0.04,0
48,CA-2016-169194,2016-06-20,2016-06-25,5,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,0.0,4.95,-40.05,,5,0,15,0.3333333333333333,0,9,153.02213333333333,6,0.11,0
49,CA-2016-169194,2016-06-20,2016-06-25,5,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,0.0,6.104,-15.696,,5,0,10,0.4587155963302752,0,9,153.02213333333333,6,0.27999999999999997,0
50,CA-2015-115742,2015-04-18,2015-04-22,4,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,0.0,17.9634,-20.2566,,2,0,12,0.3139717425431711,0,9,61.80211764705882,4,0.47000000000000003,0
51,CA-2015-115742,2015-04-18,2015-04-22,4,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0.0,0.0,35.3346,-39.8454,,2,0,12,0.15961691939345568,0,9,61.80211764705882,4,0.47,0
52,CA-2015-115742,2015-04-18,2015-04-22,4,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,0.0,2.9568,-3.2032,,2,0,4,0.6493506493506493,0,9,61.80211764705882,4,0.48,0
53,CA-2015-115742,2015-04-18,2015-04-22,4,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,0.0,17.0981,-72.8919,,2,0,2,0.022224691632403603,0,9,61.80211764705882,4,0.19,0
54,CA-2016-105816,2016-12-11,2016-12-17,6,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,0.0,6.2566,-9.0034,,2,0,14,0.9174311926605505,1,5,138.78046153846154,12,0.41,0
55,CA-2016-105816,2016-12-11,2016-12-17,6,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,0.0,298.6855,-731.2645,,2,0,10,0.009709209184911888,1,5,138.78046153846154,12,0.29,0
56,CA-2016-111682,2016-06-17,2016-06-18,1,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,0.0,52.14,-156.42,Yes,2,1,12,0.05753739930955121,0,5,81.54894444444444,6,0.25,0
57,CA-2016-111682,2016-06-17,2016-06-18,1,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0.0,0.0,15.552,-16.848,Yes,2,1,10,0.308641975308642,0,5,81.54894444444444,6,0.48,0
58,CA-2016-111682,2016-06-17,2016-06-18,1,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,-31.941,7.098,-280.371,Yes,2,1,10,0.03130772361541592,0,5,81.54894444444444,6,0.02222222222222222,0
59,CA-2016-111682,2016-06-17,2016-06-18,1,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,0.0,6.9888,-7.5712,Yes,2,1,4,0.2747252747252747,0,5,81.54894444444444,6,0.48,0
60,CA-2016-111682,2016-06-17,2016-06-18,1,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,0.0,3.3,-26.7,Yes,2,1,4,0.13333333333333333,0,5,81.54894444444444,6,0.11,0
61,CA-2016-111682,2016-06-17,2016-06-18,1,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,-9.696,16.362,-22.422,Yes,2,1,8,0.16501650165016502,0,5,81.54894444444444,6,0.33749999999999997,0
62,CA-2016-111682,2016-06-17,2016-06-18,1,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.0,0.84,-0.84,Yes,2,1,2,1.1904761904761905,0,5,81.54894444444444,6,0.5,0
63,CA-2015-135545,2015-11-24,2015-11-30,6,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,0.0,6.1512,-7.8288,,7,0,14,1.0014306151645207,1,8,175.33828571428572,11,0.44,0
64,CA-2015-135545,2015-11-24,2015-11-30,6,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,-5.1648,9.3612,-11.298,,7,0,42,1.6263940520446096,1,8,175.33828571428572,11,0.3625,0
65,CA-2015-135545,2015-11-24,2015-11-30,6,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0.0,0.0,68.9631,-77.7669,,7,0,21,0.14312001635657332,1,8,175.33828571428572,11,0.47000000000000003,0
66,CA-2015-135545,2015-11-24,2015-11-30,6,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,0.0,22.3328,-57.4272,,7,0,28,0.3510531594784353,1,8,175.33828571428572,11,0.27999999999999997,0
67,US-2015-164175,2015-04-30,2015-05-05,5,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-63.9345,-15.2225,-164.403,,4,0,20,0.09384604556225512,0,8,98.35684615384615,4,-0.07142857142857142,1
68,CA-2014-106376,2014-12-05,2014-12-10,5,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,-222.6048,111.3024,-779.1168,,7,0,56,0.050313380484158475,0,6,245.4928,12,0.10000000000000002,0
69,CA-2014-106376,2014-12-05,2014-12-10,5,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,-33.5936,62.988,-71.3864,,7,0,28,0.1666984187464279,0,6,245.4928,12,0.375,0
70,CA-2016-119823,2016-06-04,2016-06-06,2,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,0.0,35.6636,-40.2164,,9,0,18,0.23721665788086455,0,5,517.647375,6,0.4700000000000001,0
71,CA-2016-106075,2016-09-18,2016-09-23,5,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,-0.9232,1.731,-1.9618,,2,0,2,0.43327556325823224,0,4,105.18228571428571,9,0.37500000000000006,0
72,CA-2017-114440,2017-09-14,2017-09-17,3,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.0,0.0,8.763,-10.287,,5,0,15,0.7874015748031495,0,9,236.8743,9,0.45999999999999996,0
73,US-2015-134026,2015-04-26,2015-05-02,6,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-166.3872,-114.3912,-779.94,,4,0,32,0.038464497269020695,1,13,293.9484782608696,4,-0.13749999999999998,1
74,US-2015-134026,2015-04-26,2015-05-02,6,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,-19.408,1.213,-76.419,,4,0,8,0.08244023083264633,1,13,293.9484782608696,4,0.0125,0
75,US-2015-134026,2015-04-26,2015-05-02,6,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-14.5568,-18.196,-76.4232,,4,0,4,0.05495713343591998,1,13,293.9484782608696,4,-0.25,1
76,US-2017-118038,2017-12-09,2017-12-11,2,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-0.9984,-1.9344,-2.184,,10,0,30,24.03846153846154,0,7,109.32466666666667,12,-1.5499999999999998,1
